time,L_HUMAN,L_AI,experiment_compute,training_compute_growth_rate
2012.0,80.19524196,19806351.1,0.00002157918644,0.6532125138
2013.0,104.2538146,25748256.43,0.00008631674575,0.6532125138
2014.0,135.5299589,33472733.35,0.000345266983,0.6532125138
2015.0,176.1889466,43514553.36,0.001381067932,0.6532125138
2016.0,229.0456306,56568919.37,0.005524271728,0.6532125138
2017.0,297.7593197,73539595.18,0.02209708691,1.054789273
2018.0,387.0871157,95601473.73,0.125,1.456366033
2019.0,503.2132504,124281915.9,1,1.456366033
2020.0,654.1772255,161566490.6,8,1.054789273
2021.0,850.4303931,210036437.8,45.254834,0.6532125138
2022.0,1530.774708,378065588,181.019336,0.6532125138
2023.0,2755.394474,680518058.5,724.0773439,0.6532125138
2024.0,4959.710053,1224932505,2896.309376,0.6532125138
2025.0,8927.478095,2204878509,11585.2375,0.6532125138
2026.0,16069.46057,3968781317,46340.95001,0.6532125138
2027.0,28925.02903,7143806370,185363.8,0.6532125138
2028.0,52065.05225,12858851467,741455.2002,0.6532125138
2029.0,88510.58882,21860047494,2965820.801,0.522570011
2029.5,111958.0231,27651015936,5412898.859,0.424588134
2029.51,100,163854717.7,32075.82017,-222.7252142
2030.0,100,151884830.4,29732.62275,-0.0672337745
2031.0,130,145995759.7,28579.7919,-0.01717415827
2032.0,156,143287199.6,28049.57043,-0.008132847598
2033.0,171.6,133321608,26098.72931,-0.03130685163
2034.0,180.18,124646056.7,24400.42347,-0.0292219994
2035.0,189.189,117093550.6,22921.96236,-0.02714556847
2036.0,198.64845,110518712.2,21634.88722,-0.02509715958
2037.0,200,104794982.9,20514.42322,-0.02309532459
2038.0,200,99812187.14,19539.00266,-0.02115691896
2039.0,200,95474411.48,18689.84974,-0.0192965822
2040.0,200,91698158.44,17950.61919,-0.01752637612
2041.0,200,88410739.22,17307.08161,-0.01585559205
2042.0,200,85548874.57,16746.84961,-0.01429072121
2043.0,200,83057476.69,16259.13933,-0.01283556762
2044.0,200,80888588.86,15834.56287,-0.01149147397
2045.0,200,79000462.34,15464.9476,-0.01025762607
